2025-11-13T15:17:37.837211	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:17:51.866759	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:18:06.980510	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:18:20.613896	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:18:37.906219	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:18:54.442403	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:19:08.637063	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:19:24.964331	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:19:44.843723	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:19:59.221077	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:20:13.263322	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:20:26.152362	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:20:41.305354	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:20:55.730952	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:21:08.908773	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:21:26.830639	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:21:46.011496	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:22:02.118033	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:22:18.154515	RAW='3'	IDX=3	CHOSEN=Biology
2025-11-13T15:22:33.000738	RAW='3'	IDX=3	CHOSEN=Biology
